trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
39,0,39,0,67.97338808400036,68.95662445899961,68.96254429199962,up,0,0.28309629100021994,None,-3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
40,0,40,0,69.25670283399995,70.23970487499992,70.24606529199991,down,1,0.35515833199951885,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
41,0,41,0,70.61184854200019,71.59859683400009,71.60649854199983,up,0,0.27489945700017415,None,-3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
42,0,42,0,71.8894929170001,72.873241667,72.87914437499967,up,1,0.27964016599980823,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
43,0,43,0,73.17272966699966,74.15652054200018,74.16234950000035,down,1,0.6691494579999926,None,-5,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
44,0,44,0,74.84517145900008,75.83156308399975,75.84001637500023,down,1,0.44556399900011456,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
45,0,45,0,76.29442162499981,77.28213845899973,77.29002008400039,down,1,0.36244587500004855,None,3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
46,0,46,0,77.66143112499958,78.6474694589997,78.6573157089997,down,0,0.3389145000001008,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
47,0,47,0,79.00695524999992,79.99009058400043,79.99596875000043,up,1,0.2996941239998705,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
48,0,48,0,80.30670900000041,81.29047283399996,81.29640912499963,up,1,0.4036757490002856,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
49,0,49,0,81.71144379199995,82.69864250000046,82.70689066700015,up,0,0.34225129100013874,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
50,0,50,0,83.05823849999979,84.04034750000028,84.05724174999978,down,1,0.3206435829997645,None,3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
51,0,51,0,84.3783479169997,85.36608970900033,85.37375175000034,up,0,0.5821090829995228,None,-2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
52,0,52,0,85.97374033400047,86.95704591699996,86.96344041700013,down,1,0.2580236249996233,None,-2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
53,0,53,0,87.2405169169997,88.22384666699963,88.22979512500024,up,0,0.36274479099938617,None,-5,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
54,0,54,0,88.60663237500012,89.59047429200018,89.59653970900035,up,1,0.6755062490001364,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
55,0,55,0,90.29147770899999,91.27402999999958,91.27998358399964,down,1,0.34975124900029186,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
56,0,56,0,91.6407322089999,92.62423391700031,92.63015104199985,up,0,0.47501679099968896,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
57,0,57,0,93.12398462500005,94.10766700000022,94.11375383399991,up,1,0.3001879999992525,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
58,0,58,0,94.42382670900042,95.40749912499996,95.41365804199995,up,0,0.4006510409999464,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
59,0,59,0,95.82510875000025,96.80749483399995,96.81332991700037,up,1,0.37071041599938326,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
60,0,60,0,97.19525833399985,98.18248791699989,98.19090662500003,up,1,0.6364365409999664,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
61,0,61,0,98.84090445899983,99.8243466670001,99.83042158399985,up,1,0.39625958200031164,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
62,0,62,0,100.24074970899983,101.2243714590004,101.23032704199977,down,1,0.4507301240000743,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
63,0,63,0,101.69129733400041,102.67465533399991,102.68057933399996,up,0,0.4784294580003916,None,-3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
64,0,64,0,103.17487908400017,104.15777695900033,104.16379066700028,up,1,0.4193246659997385,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
65,0,65,0,104.59691674999976,105.5832843750004,105.59113125000022,up,0,0.37668770700020104,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
66,0,66,0,105.98015879200011,106.96524725000017,106.975110417,down,1,0.3967647079998642,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
67,0,67,0,107.37921366699993,108.36651566700039,108.37461541700031,up,0,0.4381001659994581,None,-5,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
68,0,68,0,108.8254266670001,109.80809008400047,109.81499008399987,down,1,0.5859625820003203,None,3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
69,0,69,0,110.41451200000029,111.39995499999986,111.40806216700003,up,0,0.46828666599958524,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
70,0,70,0,111.89213350000045,112.8751161250002,112.8815249170002,down,1,0.38418158300009964,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
