24.6095 	EXP 	grating: ori = -4.0
24.6095 	EXP 	Fixation: autoDraw = True
25.5951 	EXP 	grating: autoDraw = True
25.6045 	EXP 	Fixation: autoDraw = False
25.8941 	EXP 	grating: autoDraw = False
26.0351 	EXP 	New trial (rep=9, index=0): None
26.0386 	DATA 	Keypress: up
26.0429 	EXP 	Fixation: autoDraw = False
26.0429 	EXP 	grating: autoDraw = False
26.0429 	EXP 	grating: ori = -2.0
26.0429 	EXP 	Fixation: autoDraw = True
27.0292 	EXP 	grating: autoDraw = True
27.0379 	EXP 	Fixation: autoDraw = False
27.3279 	EXP 	grating: autoDraw = False
27.4289 	EXP 	New trial (rep=10, index=0): None
27.4326 	DATA 	Keypress: down
27.4377 	EXP 	Fixation: autoDraw = False
27.4377 	EXP 	grating: autoDraw = False
27.4377 	EXP 	grating: ori = 0.0
27.4377 	EXP 	Fixation: autoDraw = True
28.4215 	EXP 	grating: autoDraw = True
28.4273 	EXP 	Fixation: autoDraw = False
28.7116 	EXP 	grating: autoDraw = False
28.7300 	EXP 	New trial (rep=11, index=0): None
28.7340 	DATA 	Keypress: up
28.7387 	EXP 	Fixation: autoDraw = False
28.7387 	EXP 	grating: autoDraw = False
28.7387 	EXP 	grating: ori = 0.0
28.7387 	EXP 	Fixation: autoDraw = True
29.7213 	EXP 	grating: autoDraw = True
29.7278 	EXP 	Fixation: autoDraw = False
30.0109 	EXP 	grating: autoDraw = False
30.0963 	EXP 	New trial (rep=12, index=0): None
30.1003 	DATA 	Keypress: down
30.1055 	EXP 	Fixation: autoDraw = False
30.1055 	EXP 	grating: autoDraw = False
30.1055 	EXP 	grating: ori = 0.0
30.1055 	EXP 	Fixation: autoDraw = True
31.0880 	EXP 	grating: autoDraw = True
31.0940 	EXP 	Fixation: autoDraw = False
31.3779 	EXP 	grating: autoDraw = False
31.4183 	EXP 	New trial (rep=13, index=0): None
31.4220 	DATA 	Keypress: down
31.4268 	EXP 	Fixation: autoDraw = False
31.4268 	EXP 	grating: autoDraw = False
31.4268 	EXP 	grating: ori = 0.0
31.4268 	EXP 	Fixation: autoDraw = True
32.4130 	EXP 	grating: autoDraw = True
32.4214 	EXP 	Fixation: autoDraw = False
32.7111 	EXP 	grating: autoDraw = False
32.8135 	EXP 	New trial (rep=14, index=0): None
32.8174 	DATA 	Keypress: up
32.8225 	EXP 	Fixation: autoDraw = False
32.8225 	EXP 	grating: autoDraw = False
32.8225 	EXP 	grating: ori = -5.0
32.8225 	EXP 	Fixation: autoDraw = True
33.8048 	EXP 	grating: autoDraw = True
33.8221 	EXP 	Fixation: autoDraw = False
34.0787 	EXP 	New trial (rep=15, index=0): None
34.0823 	DATA 	Keypress: up
34.0873 	EXP 	Fixation: autoDraw = False
34.0873 	EXP 	grating: autoDraw = False
